TABLE NO.  1
 ID          TIME        DV          MDV         CMT         DL          IPRED       IWRES       DV          PRED        RES         WRES
  4.0000E+00  1.5000E+01  2.0983E-01  0.0000E+00  1.0000E+00  1.0000E+00  1.3197E-01  7.7865E-02  2.0983E-01  1.3197E-01  7.7865E-02  4.4769E-01
  4.0000E+00  1.5000E+01  3.3288E-02  0.0000E+00  2.0000E+00  1.0000E+00  3.9933E-02 -6.6456E-03  3.3288E-02  3.9933E-02 -6.6456E-03 -3.8209E-02
  4.0000E+00  1.5000E+01  1.4980E-01  0.0000E+00  3.0000E+00  1.0000E+00  2.3203E-01 -8.2226E-02  1.4980E-01  2.3203E-01 -8.2226E-02 -4.7276E-01
  4.0000E+00  2.0000E+01  9.9859E-02  0.0000E+00  1.0000E+00  1.0000E+00  6.4281E-02  3.5578E-02  9.9859E-02  6.4281E-02  3.5578E-02  2.0456E-01
  4.0000E+00  2.0000E+01  3.2202E-02  0.0000E+00  2.0000E+00  1.0000E+00  2.5844E-02  6.3579E-03  3.2202E-02  2.5844E-02  6.3579E-03  3.6555E-02
  4.0000E+00  2.0000E+01  1.7512E-01  0.0000E+00  3.0000E+00  1.0000E+00  1.5185E-01  2.3268E-02  1.7512E-01  1.5185E-01  2.3268E-02  1.3378E-01
  4.0000E+00  3.0000E+01  7.1663E-02  0.0000E+00  1.0000E+00  1.0000E+00  1.5167E-02  5.6496E-02  7.1663E-02  1.5167E-02  5.6496E-02  3.2483E-01
  4.0000E+00  3.0000E+01  2.7932E-02  0.0000E+00  2.0000E+00  1.0000E+00  9.0896E-03  1.8842E-02  2.7932E-02  9.0896E-03  1.8842E-02  1.0834E-01
  4.0000E+00  3.0000E+01  1.1486E-01  0.0000E+00  3.0000E+00  1.0000E+00  5.4349E-02  6.0509E-02  1.1486E-01  5.4349E-02  6.0509E-02  3.4790E-01
  4.0000E+00  4.5000E+01  3.9346E-02  0.0000E+00  1.0000E+00  1.0000E+00  1.7317E-03  3.7614E-02  3.9346E-02  1.7317E-03  3.7614E-02  2.1626E-01
  4.0000E+00  4.5000E+01  8.9048E-03  0.0000E+00  2.0000E+00  1.0000E+00  1.5393E-03  7.3656E-03  8.9048E-03  1.5393E-03  7.3656E-03  4.2349E-02
